,sim_id,W01,AVE_p0,VE_p0,seed,scan_dict
0,201,0.001,3.381818181818182,4.0181818181818185,2025,23032022_W01_AVEp0_VEp0_201
0,202,0.001,3.381818181818182,4.0181818181818185,2026,23032022_W01_AVEp0_VEp0_202
0,203,0.001,3.381818181818182,4.0181818181818185,2027,23032022_W01_AVEp0_VEp0_203
0,204,0.001,3.381818181818182,4.109090909090909,2022,23032022_W01_AVEp0_VEp0_204
0,205,0.001,3.381818181818182,4.109090909090909,2023,23032022_W01_AVEp0_VEp0_205
0,206,0.001,3.381818181818182,4.109090909090909,2024,23032022_W01_AVEp0_VEp0_206
0,207,0.001,3.381818181818182,4.109090909090909,2025,23032022_W01_AVEp0_VEp0_207
0,208,0.001,3.381818181818182,4.109090909090909,2026,23032022_W01_AVEp0_VEp0_208
0,209,0.001,3.381818181818182,4.109090909090909,2027,23032022_W01_AVEp0_VEp0_209
0,210,0.001,3.381818181818182,4.2,2022,23032022_W01_AVEp0_VEp0_210
0,211,0.001,3.381818181818182,4.2,2023,23032022_W01_AVEp0_VEp0_211
0,212,0.001,3.381818181818182,4.2,2024,23032022_W01_AVEp0_VEp0_212
0,213,0.001,3.381818181818182,4.2,2025,23032022_W01_AVEp0_VEp0_213
0,214,0.001,3.381818181818182,4.2,2026,23032022_W01_AVEp0_VEp0_214
0,215,0.001,3.381818181818182,4.2,2027,23032022_W01_AVEp0_VEp0_215
0,216,0.001,3.4727272727272727,3.2,2022,23032022_W01_AVEp0_VEp0_216
0,217,0.001,3.4727272727272727,3.2,2023,23032022_W01_AVEp0_VEp0_217
0,218,0.001,3.4727272727272727,3.2,2024,23032022_W01_AVEp0_VEp0_218
0,219,0.001,3.4727272727272727,3.2,2025,23032022_W01_AVEp0_VEp0_219
0,220,0.001,3.4727272727272727,3.2,2026,23032022_W01_AVEp0_VEp0_220
0,221,0.001,3.4727272727272727,3.2,2027,23032022_W01_AVEp0_VEp0_221
0,222,0.001,3.4727272727272727,3.290909090909091,2022,23032022_W01_AVEp0_VEp0_222
0,223,0.001,3.4727272727272727,3.290909090909091,2023,23032022_W01_AVEp0_VEp0_223
0,224,0.001,3.4727272727272727,3.290909090909091,2024,23032022_W01_AVEp0_VEp0_224
0,225,0.001,3.4727272727272727,3.290909090909091,2025,23032022_W01_AVEp0_VEp0_225
0,226,0.001,3.4727272727272727,3.290909090909091,2026,23032022_W01_AVEp0_VEp0_226
0,227,0.001,3.4727272727272727,3.290909090909091,2027,23032022_W01_AVEp0_VEp0_227
0,228,0.001,3.4727272727272727,3.381818181818182,2022,23032022_W01_AVEp0_VEp0_228
0,229,0.001,3.4727272727272727,3.381818181818182,2023,23032022_W01_AVEp0_VEp0_229
0,230,0.001,3.4727272727272727,3.381818181818182,2024,23032022_W01_AVEp0_VEp0_230
0,231,0.001,3.4727272727272727,3.381818181818182,2025,23032022_W01_AVEp0_VEp0_231
0,232,0.001,3.4727272727272727,3.381818181818182,2026,23032022_W01_AVEp0_VEp0_232
0,233,0.001,3.4727272727272727,3.381818181818182,2027,23032022_W01_AVEp0_VEp0_233
0,234,0.001,3.4727272727272727,3.4727272727272727,2022,23032022_W01_AVEp0_VEp0_234
0,235,0.001,3.4727272727272727,3.4727272727272727,2023,23032022_W01_AVEp0_VEp0_235
0,236,0.001,3.4727272727272727,3.4727272727272727,2024,23032022_W01_AVEp0_VEp0_236
0,237,0.001,3.4727272727272727,3.4727272727272727,2025,23032022_W01_AVEp0_VEp0_237
0,238,0.001,3.4727272727272727,3.4727272727272727,2026,23032022_W01_AVEp0_VEp0_238
0,239,0.001,3.4727272727272727,3.4727272727272727,2027,23032022_W01_AVEp0_VEp0_239
0,240,0.001,3.4727272727272727,3.563636363636364,2022,23032022_W01_AVEp0_VEp0_240
0,241,0.001,3.4727272727272727,3.563636363636364,2023,23032022_W01_AVEp0_VEp0_241
0,242,0.001,3.4727272727272727,3.563636363636364,2024,23032022_W01_AVEp0_VEp0_242
0,243,0.001,3.4727272727272727,3.563636363636364,2025,23032022_W01_AVEp0_VEp0_243
0,244,0.001,3.4727272727272727,3.563636363636364,2026,23032022_W01_AVEp0_VEp0_244
0,245,0.001,3.4727272727272727,3.563636363636364,2027,23032022_W01_AVEp0_VEp0_245
0,246,0.001,3.4727272727272727,3.6545454545454548,2022,23032022_W01_AVEp0_VEp0_246
0,247,0.001,3.4727272727272727,3.6545454545454548,2023,23032022_W01_AVEp0_VEp0_247
0,248,0.001,3.4727272727272727,3.6545454545454548,2024,23032022_W01_AVEp0_VEp0_248
0,249,0.001,3.4727272727272727,3.6545454545454548,2025,23032022_W01_AVEp0_VEp0_249
0,250,0.001,3.4727272727272727,3.6545454545454548,2026,23032022_W01_AVEp0_VEp0_250
0,251,0.001,3.4727272727272727,3.6545454545454548,2027,23032022_W01_AVEp0_VEp0_251
0,252,0.001,3.4727272727272727,3.7454545454545456,2022,23032022_W01_AVEp0_VEp0_252
0,253,0.001,3.4727272727272727,3.7454545454545456,2023,23032022_W01_AVEp0_VEp0_253
0,254,0.001,3.4727272727272727,3.7454545454545456,2024,23032022_W01_AVEp0_VEp0_254
0,255,0.001,3.4727272727272727,3.7454545454545456,2025,23032022_W01_AVEp0_VEp0_255
0,256,0.001,3.4727272727272727,3.7454545454545456,2026,23032022_W01_AVEp0_VEp0_256
0,257,0.001,3.4727272727272727,3.7454545454545456,2027,23032022_W01_AVEp0_VEp0_257
0,258,0.001,3.4727272727272727,3.8363636363636364,2022,23032022_W01_AVEp0_VEp0_258
0,259,0.001,3.4727272727272727,3.8363636363636364,2023,23032022_W01_AVEp0_VEp0_259
0,260,0.001,3.4727272727272727,3.8363636363636364,2024,23032022_W01_AVEp0_VEp0_260
0,261,0.001,3.4727272727272727,3.8363636363636364,2025,23032022_W01_AVEp0_VEp0_261
